isolate.code,genus,species,name,group,temperature,r,ln.r
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.424,-0.858021824
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.516,-0.661648514
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,31,0.527,-0.64055473
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,28,0.594,-0.52087596
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.079,-2.538307427
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.081,-2.513306124
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.089,-2.419118909
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.11,-2.207274913
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.121,-2.111964733
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.13,-2.040220829
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.14,-1.966112856
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.15,-1.897119985
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.16,-1.832581464
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.17,-1.771956842
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.19,-1.660731207
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.21,-1.560647748
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.21,-1.560647748
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.24,-1.427116356
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.25,-1.386294361
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.26,-1.347073648
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.26,-1.347073648
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.27,-1.30933332
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.28,-1.272965676
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,28,0.28,-1.272965676
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.29,-1.237874356
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.29,-1.237874356
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,28,0.29,-1.237874356
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.3,-1.203972804
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.3,-1.203972804
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,28,0.31,-1.171182982
37,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.33,-1.108662625
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.028,-3.575550769
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,34,0.072,-2.63108916
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,21,0.098,-2.3227878
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.149,-1.903808973
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,31,0.155,-1.864330162
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.185,-1.687399454
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,30,0.21,-1.560647748
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,27,0.249,-1.390302383
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,24,0.373,-0.986176859
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,31,0.631,-0.460449416
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,26,0.645,-0.438504962
134,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,28,0.771,-0.260066905
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.052810417,-2.941046816
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.055342786,-2.894208963
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.056019146,-2.882061754
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,18,0.068400735,-2.682371709
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.119158671,-2.127299304
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.120070564,-2.119675676
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.123186436,-2.094056331
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.124577004,-2.082831248
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,20,0.145936688,-1.924582395
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.1557,-1.8598242
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.1609,-1.826972225
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,22,0.1634,-1.811554097
559,Trichodesmium,erythraeum,Trichodesmium erythraeum,cyanobacteria,32,0.170874647,-1.76682505
